category,links,title,price,image url
Automotive,https://www.amazon.com/EcoNour-Car-Windshield-Sun-Shade/dp/B01I90VP0G?_encoding=UTF8&psc=1,"
Car Windshield Sun Shade - Blocks UV Rays Sun Visor Protector, Sunshade To Keep Your Vehicle Cool And Damage Free,Easy To Use, Fits Windshields of Various Sizes
",$13.96 $17.96,"https://images-na.ssl-images-amazon.com/images/I/81FV8Elt1SL._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084CYTWRG?_encoding=UTF8&psc=1,"
Rain-X Latitude Water Repellency Wiper Blade, 18"" - 2 Pack
",$13.16 $35.99,"https://images-na.ssl-images-amazon.com/images/I/7179UOHRTkL._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/dp/B06ZY896ZM?_encoding=UTF8&psc=1,"
Portable Car Vacuum Cleaner: High Power Corded Handheld Vacuum w/ 16 foot cable - 12V - Best Car & Auto Accessories Kit for Detailing and Cleaning Car Interior
",$34.99 ,"https://images-na.ssl-images-amazon.com/images/I/81JbI6lk2FL._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/ComfiLife-Gel-Enhanced-Seat-Cushion/dp/B014F18ZGU?_encoding=UTF8&psc=1,"
ComfiLife Gel Enhanced Seat Cushion - Non-Slip Orthopedic Gel & Memory Foam Coccyx Cushion for Tailbone Pain - Office Chair Car Seat Cushion - Sciatica & Back Pain Relief
",$32.95 ,"https://images-na.ssl-images-amazon.com/images/I/81cV9Pxp3FL._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/Roam-Universal-Premium-Phone-Motorcycle/dp/B01LWDCSIZ?_encoding=UTF8&psc=1,"
Roam Universal Premium Bike Phone Mount for Motorcycle - Bike Handlebars, Adjustable, Fits iPhone 11, X, XR, 8 | 8 Plus, 7 | 7 Plus, 6s Plus | Galaxy, S10, S9, S8, Holds Phones Up to 3.5"" Wide",$19.98 ,"https://images-na.ssl-images-amazon.com/images/I/713fujBvS9L._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/PAMASE-Multifunctional-Microfiber-Protection-Motorcycle/dp/B07PVF4W9H?_encoding=UTF8&psc=1,"
3 Pcs American Flag Outdoor Face Mask- Multifunctional Seamless Microfiber American Flag UV Protection Face Neck Gaiter Shields Headwear for Men&Women Motorcycle Hiking Cycling Ski Snowboard(Grey)
",$11.99 $24.99,"https://images-na.ssl-images-amazon.com/images/I/71G5n7bgw1L._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/Motor-Trend-MT-923-BK-FlexTough-Contour/dp/B01A5TLGJ4?_encoding=UTF8&psc=1,"
Motor Trend MT-923-BK Black FlexTough Contour Liners-Deep Dish Heavy Duty Rubber Floor Mats for Car SUV Truck & Van-All Weather Protection
",$32.50 $78.25,"https://images-na.ssl-images-amazon.com/images/I/61oa6jhqVjL._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/AmazonBasics-CW190423-24-Pack-Microfiber-Cleaning/dp/B009FUF6DM?_encoding=UTF8&psc=1,"
AmazonBasics Blue, White, and Yellow Microfiber Cleaning Cloth - Pack of 24
",$15.49 $51.49,"https://images-na.ssl-images-amazon.com/images/I/81wUWVAiWDL._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/BOVON-Silicone-Motorcycle-Handlebar-Universal/dp/B07D5SVD7Y?_encoding=UTF8&psc=1,"
Bovon Bike Phone Mount, 360��Rotation Silicone Bicycle Phone Holder, Universal Motorcycle Handlebar Mount Compatible with iPhone Se/11 Pro Max/XR/XS Max/8/7/ 6/6s Plus, Galaxy S20/S9, 4.0""-6.5"" Phones
",$13.95 ,"https://images-na.ssl-images-amazon.com/images/I/41fnAIP8p1L._AC_UL200_SR200,200_.jpg"
Automotive,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/dp/B07Q6CPQK4?_encoding=UTF8&psc=1,"
Govee Interior Car Lights, Car LED Strip Light Upgrade Two-Line Design Waterproof 4pcs 48 LED APP Controller Lighting Kits, Multi DIY Color Music Under Dash Car Lighting with Car Charger, DC 12V
",$26.99 ,"https://images-na.ssl-images-amazon.com/images/I/71yZLgIgOYL._AC_UL200_SR200,200_.jpg"
